uid,lat,lon,heading,country,city,district,ward,image_path
98,10.781858036094157,106.69679937429572,132.94126151419957,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_98.jpg
99,10.78216489946879,106.69646370092984,43.76454088659251,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_99.jpg
100,10.78249030633792,106.69678100523753,43.76454088659251,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_100.jpg
101,10.769406699476065,106.70251740091705,332.6987706939521,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_101.jpg
102,10.769812954694912,106.7023170933144,332.6987706939521,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_102.jpg
103,10.769406699476065,106.70251740091705,244.9006827753016,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_103.jpg
104,10.769224932576888,106.7020988468626,244.9006827753016,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_104.jpg
105,10.769406699476065,106.70251740091705,65.96898755467019,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_105.jpg
106,10.769588701735684,106.70293584781288,65.96898755467019,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_106.jpg
107,10.77003609947569,106.7021867009177,152.6987088985956,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_107.jpg
108,10.769638707829598,106.70240392963748,152.6987088985956,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_108.jpg
109,10.772340599472129,106.69691100092396,234.4447834787539,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_109.jpg
110,10.77207888613752,106.69653827147884,234.4447834787539,Vietnam,Ho Chi Minh,District 1,Ben Thanh,data/processing/images/district_1/ben_thanh/original/gsv_110.jpg
