uid,lat,lon,heading,district,ward,pct_other,pct_vegetation,pct_sky,pct_building,pct_pavement_road,pct_water,pct_vehicle_clutter,gvi,svi,bvi,hardscape_index,lst_kelvin,lst_celsius,ndvi,emissivity,palsar_hh_db,palsar_hv_db,palsar_hv_hh_ratio,palsar_glcm_contrast,palsar_glcm_homogeneity,palsar_glcm_energy,elevation_m,sky_view_factor,landcover_class
9858,10.80587749174538,106.7284496776066,0.4578004966577262,District 2,Thao Dien,0.82578857421875,0.0106494140625,0.0,0.00442626953125,0.033466796875,0.11252197265625,0.01314697265625,0.0106494140625,0.0,0.00442626953125,0.0510400390625,314.57916259765625,41.42916259765627,0.06378501653671265,2.777400016784668,-3.0723937353318007,-12.926909615140815,4.207439126855524,2485.25,0.027095210772374985,0.16583123951777,5.0,0.9931891514257154,2.0
9859,10.805425499478632,106.72844600091248,91.72836162892274,District 2,Thao Dien,0.86283447265625,0.00812744140625,4.8828125e-06,0.00448974609375,0.01728515625,0.09050048828125,0.0167578125,0.00812744140625,4.8828125e-06,0.00448974609375,0.0385327148437499,314.96881103515625,41.81881103515627,0.06375753879547119,2.7772998809814453,0.14732183524540687,-10.685206227616902,-72.52968448171731,3446.9500000000003,0.05138986181553549,0.16201851746019652,9.0,0.999997222553967,2.0
9860,10.80541193424322,106.728902987816,91.72836162892274,District 2,Thao Dien,0.88288330078125,0.0149560546875,0.0,0.0042431640625,0.02369873046875,0.0620703125,0.0121484375,0.0149560546875,0.0,0.0042431640625,0.0400903320312499,314.79791259765625,41.64791259765627,0.06282252073287964,2.773900032043457,-1.5837328059456866,-11.019815203533128,6.9581277613005685,3514.999999999999,0.027482025011027603,0.15811388300841894,5.0,0.996893150981259,2.0
9861,10.805425499478632,106.72844600091248,321.72707031445765,District 2,Thao Dien,0.8612255859375,0.016982421875,0.0,0.0028955078125,0.023134765625,0.082373046875,0.013388671875,0.016982421875,0.0,0.0028955078125,0.0394189453125,314.96881103515625,41.81881103515627,0.06375753879547119,2.7772998809814453,0.14732183524540687,-10.685206227616902,-72.52968448171731,3446.9500000000003,0.05138986181553549,0.16201851746019652,9.0,0.999997222553967,2.0
9862,10.80547064388521,106.72799180799512,321.72707031445765,District 2,Thao Dien,0.8418603515625,0.00309814453125,0.0,0.00508544921875,0.02372314453125,0.1147509765625,0.01148193359375,0.00309814453125,0.0,0.00508544921875,0.04029052734375,314.84918212890625,41.69918212890627,0.06136500835418701,2.7685999870300293,-4.614253189912347,-14.35665461114823,3.1113712274252014,2063.8,0.11146769503691019,0.16583123951777,5.0,0.9969734963484694,2.0
9863,10.805744234412952,106.7277892520755,321.72707031445765,District 2,Thao Dien,0.79785400390625,0.01691162109375,9.765625e-06,0.0036376953125,0.0603955078125,0.09248046875,0.0287109375,0.01691162109375,9.765625e-06,0.0036376953125,0.092744140625,313.41015625,40.26015625000002,0.06073254346847534,2.7662999629974365,-4.582930077574815,-12.48097317503975,2.7233610296852717,3011.2000000000003,0.11086717516088086,0.16583123951777,8.0,0.9998441042859503,2.0
9864,10.80619038273699,106.72774185517382,321.72707031445765,District 2,Thao Dien,0.73561767578125,0.028671875,4.150390625e-05,0.0052197265625,0.08980224609375,0.0810791015625,0.05956787109375,0.028671875,4.150390625e-05,0.0052197265625,0.15458984375,313.0888671875,39.93886718750002,0.059852540493011475,2.7630999088287354,1.1408324187078733,-13.331107038029302,-11.685420943006113,2276.3,0.013271283004059836,0.15811388300841897,7.0,0.9998607958239802,2.0
9865,10.811539399479429,106.73352080091108,49.4479259903318,District 2,Thao Dien,0.74462646484375,0.02346923828125,1.953125e-05,0.0033203125,0.07561279296875,0.1218212890625,0.03113037109375,0.02346923828125,1.953125e-05,0.0033203125,0.1100634765625,310.9970703125,37.84707031250002,0.05242753028869629,2.7360999584198,-10.549502751928628,-12.778383089217627,1.211278236491433,3321.3500000000004,0.01108019529316693,0.15811388300841897,11.0,0.9988074348342649,2.0
9866,10.811832165109596,106.73386913897016,49.4479259903318,District 2,Thao Dien,0.7794775390625,0.0145654296875,0.00013916015625,0.0022900390625,0.05921142578125,0.110361328125,0.033955078125,0.0145654296875,0.00013916015625,0.0022900390625,0.09545654296875,310.58349609375,37.43349609375002,0.05160254240036011,2.733099937438965,-6.538344069343935,-13.68045263428354,2.092342111273482,3205.8500000000004,0.06157598930759366,0.16201851746019652,13.0,0.9999750157509295,2.0
9867,10.811539399479429,106.73352080091108,205.7202375027273,District 2,Thao Dien,0.8642919921875,0.00601806640625,4.150390625e-05,0.002685546875,0.03090087890625,0.07339111328125,0.0226708984375,0.00601806640625,4.150390625e-05,0.002685546875,0.05625732421875,310.9970703125,37.84707031250002,0.05242753028869629,2.7360999584198,-10.549502751928628,-12.778383089217627,1.211278236491433,3321.3500000000004,0.01108019529316693,0.15811388300841897,11.0,0.9988074348342649,2.0
9868,10.811168446942844,106.73326132732548,205.7202375027273,District 2,Thao Dien,0.7927587890625,0.01986572265625,1.953125e-05,0.0021630859375,0.0476318359375,0.1090869140625,0.02847412109375,0.01986572265625,1.953125e-05,0.0021630859375,0.07826904296875,311.263671875,38.11367187500002,0.05344504117965698,2.739799976348877,-5.820838905639874,-8.581936583730851,1.4743470353415413,5555.0,0.0204938401890933,0.15811388300841897,7.0,0.9947329826971758,2.0
9869,10.81074850870431,106.73309219029696,205.7202375027273,District 2,Thao Dien,0.88371826171875,0.00249267578125,0.0,0.0020751953125,0.02182861328125,0.07182373046875,0.0180615234375,0.00249267578125,0.0,0.0020751953125,0.04196533203125,313.16748046875,40.01748046875002,0.06026500463485718,2.7646000385284424,-8.300804774551096,-9.611802654244343,1.1579362381479625,9040.15,0.006498698918859803,0.15811388300841897,5.0,0.9957721425308972,2.0
9870,10.81032857028943,106.7329230538172,205.7202375027273,District 2,Thao Dien,0.88866943359375,0.00314453125,1.708984375e-05,0.0021435546875,0.0219482421875,0.06912353515625,0.01495361328125,0.00314453125,1.708984375e-05,0.0021435546875,0.03904541015625,313.9365539550781,40.78655395507815,0.06136500835418701,2.7685999870300293,-3.7119785767453664,-10.924125917260739,2.94293883744311,4090.5,0.015757708933501646,0.15811388300841897,3.0,0.9938222063402298,2.0
9871,10.81231939947492,106.72558200091902,21.03021323841987,District 2,Thao Dien,0.79932373046875,0.01166259765625,6.591796875e-05,0.00253173828125,0.05565185546875,0.10533203125,0.02543212890625,0.01166259765625,6.591796875e-05,0.00253173828125,0.08361572265625,311.97802734375,38.82802734375002,0.05732250213623047,2.7538998126983643,-6.977416248405916,-10.489635420567254,1.5033695922847876,7552.700000000001,0.0022792696912609916,0.15811388300841897,7.0,0.9958806074331477,2.0
9872,10.812739245258474,106.7257513781374,21.03021323841987,District 2,Thao Dien,0.88861572265625,0.00315185546875,1.953125e-05,0.004638671875,0.03508056640625,0.0474560546875,0.02103759765625,0.00315185546875,1.953125e-05,0.004638671875,0.0607568359375,312.1865234375,39.03652343750002,0.05545252561569214,2.7470998764038086,-4.674080108737385,-7.306228009971576,1.5631370964981635,3285.05,0.01647038884587504,0.15811388300841897,9.0,0.9993495740522484,2.0
9873,10.813159856269923,106.72591874382488,21.03021323841987,District 2,Thao Dien,0.77803466796875,0.01735595703125,5.615234375e-05,0.0031103515625,0.08345703125,0.086103515625,0.03188232421875,0.01735595703125,5.615234375e-05,0.0031103515625,0.1184497070312499,312.2822265625,39.13222656250002,0.05814749002456665,2.756899833679199,-8.910126059814033,-13.82120276219348,1.5511792615964344,2510.25,0.01435604466135254,0.15811388300841897,5.0,0.9960436438872023,2.0
9874,10.813583659660774,106.72607771754336,21.03021323841987,District 2,Thao Dien,0.86751708984375,0.00793212890625,1.46484375e-05,0.0053125,0.02661376953125,0.0743115234375,0.01829833984375,0.00793212890625,1.46484375e-05,0.0053125,0.050224609375,312.36767578125,39.21767578125002,0.05880749225616455,2.7592999935150146,-4.6941143395462746,-13.228985669991118,2.818206953022327,2553.7,0.00574651175974396,0.15811388300841897,2.0,0.9915364904586446,2.0
9875,10.80248789948475,106.73813200090169,331.4310164777431,District 2,Thao Dien,0.8447705078125,0.013759765625,1.953125e-05,0.0035693359375,0.0335205078125,0.09380859375,0.0105517578125,0.013759765625,1.953125e-05,0.0035693359375,0.0476416015625,314.63043212890625,41.48043212890627,0.06296002864837646,2.774399995803833,3.8803747549182503,-5.151429061095399,-1.3275596782414194,3579.600000000001,0.0039051695148351333,0.15811388300841903,7.0,0.9989613812786517,2.0
9876,10.802884278010447,106.7379122724811,331.4310164777431,District 2,Thao Dien,0.7645166015625,0.02680908203125,6.34765625e-05,0.00223388671875,0.07368896484375,0.0743603515625,0.05832763671875,0.02680908203125,6.34765625e-05,0.00223388671875,0.13425048828125,314.72955322265625,41.57955322265627,0.06458252668380737,2.7802999019622803,4.25718605917362,-13.785049163116057,-3.238065936397417,2927.5,0.004712636710149298,0.15811388300841897,4.0,0.9758585092496008,2.0
9877,10.80435069947875,106.72803240091228,155.39652918590477,District 2,Thao Dien,0.8401318359375,0.01343994140625,4.8828125e-06,0.00324462890625,0.02910400390625,0.098857421875,0.01521728515625,0.01343994140625,4.8828125e-06,0.00324462890625,0.0475659179687499,313.7724914550781,40.62249145507815,0.06078749895095825,2.7664999961853027,-2.6077056861716557,-12.1285715207527,4.65105076277167,3752.6999999999994,0.05703074293168562,0.16201851746019647,6.0,0.9972720742119996,2.0
9878,10.803950045797745,106.72824405415024,155.39652918590477,District 2,Thao Dien,0.77556396484375,0.01860595703125,1.708984375e-05,0.0059326171875,0.08373779296875,0.0532861328125,0.0628564453125,0.01860595703125,1.708984375e-05,0.0059326171875,0.15252685546875,314.48004150390625,41.33004150390627,0.06287753582000732,2.774099826812744,-3.190558929487608,-11.732751810267857,3.677334307112169,2881.3500000000004,0.0063274023852720775,0.158113883008419,11.0,0.9999956605320832,2.0
