uid,lat,lon,heading,district,ward,pct_other,pct_vegetation,pct_sky,pct_building,pct_pavement_road,pct_water,pct_vehicle_clutter,gvi,svi,bvi,hardscape_index
429,10.770034799470128,106.69183650092748,143.04938351981025,District 1,Co Giang,0.81427490234375,0.01671142578125,0.00017822265625,0.00209716796875,0.08128662109375,0.06276611328125,0.022685546875,0.01671142578125,0.00017822265625,0.00209716796875,0.1060693359375
430,10.769717842471618,106.69190197137762,143.04938351981025,District 1,Co Giang,0.65111572265625,0.0100732421875,0.00015625,0.00068359375,0.18296875,0.1037841796875,0.05121826171875,0.0100732421875,0.00015625,0.00068359375,0.23487060546875
431,10.769795799470304,106.69201950092716,323.04941771618104,District 1,Co Giang,0.8116943359375,0.01388671875,3.662109375e-05,0.0051171875,0.0481005859375,0.09802490234375,0.0231396484375,0.01388671875,3.662109375e-05,0.0051171875,0.076357421875
432,10.769956501209435,106.69171920353322,323.04941771618104,District 1,Co Giang,0.656923828125,0.01886962890625,0.00018798828125,0.00322021484375,0.13629150390625,0.11662353515625,0.06788330078125,0.01886962890625,0.00018798828125,0.00322021484375,0.20739501953125
433,10.769795799470304,106.69201950092716,150.97680678440722,District 1,Co Giang,0.91650390625,0.0044189453125,0.00016357421875,0.00260009765625,0.0203271484375,0.03821533203125,0.01777099609375,0.0044189453125,0.00016357421875,0.00260009765625,0.0406982421875
434,10.769402843527695,106.69224284257128,150.97680678440722,District 1,Co Giang,0.8600732421875,0.01628662109375,0.00016845703125,0.0022802734375,0.0396142578125,0.06166259765625,0.01991455078125,0.01628662109375,0.00016845703125,0.0022802734375,0.06180908203125
435,10.770600499465822,106.68412060093507,314.14515185435107,District 1,Ben Thanh,0.85847412109375,0.012607421875,1.953125e-05,0.004033203125,0.040927734375,0.06551513671875,0.0184228515625,0.012607421875,1.953125e-05,0.004033203125,0.0633837890625
436,10.770914267587704,106.6837915297626,314.14515185435107,District 1,Ben Thanh,0.77291015625,0.003466796875,4.150390625e-05,0.00464599609375,0.11646484375,0.07811767578125,0.02435302734375,0.003466796875,4.150390625e-05,0.00464599609375,0.1454638671875
437,10.771228035456897,106.68346245790448,314.14515185435107,District 1,Ben Thanh,0.70765625,0.0097021484375,4.8828125e-05,0.0015576171875,0.092724609375,0.11520751953125,0.07310302734375,0.0097021484375,4.8828125e-05,0.0015576171875,0.16738525390625
438,10.770600499465822,106.68412060093507,40.53149990020086,District 1,Ben Thanh,0.7475146484375,0.01806396484375,0.00013427734375,0.00206787109375,0.10275634765625,0.08583740234375,0.04362548828125,0.01806396484375,0.00013427734375,0.00206787109375,0.14844970703125
439,10.770928346586654,106.68443445374332,40.53149990020086,District 1,Ben Thanh,0.68087158203125,0.01013916015625,0.00146484375,0.0056103515625,0.12014892578125,0.16932861328125,0.0124365234375,0.01013916015625,0.00146484375,0.0056103515625,0.13819580078125
440,10.771212999465906,106.68465370093492,220.53159952727,District 1,Ben Thanh,0.763017578125,0.0228466796875,0.00035400390625,0.0038232421875,0.08075927734375,0.0848974609375,0.0443017578125,0.0228466796875,0.00035400390625,0.0038232421875,0.12888427734375
441,10.77086619412716,106.68436569409558,220.53159952727,District 1,Ben Thanh,0.84483642578125,0.01712890625,0.0,0.00429443359375,0.0253076171875,0.08592041015625,0.02251220703125,0.01712890625,0.0,0.00429443359375,0.0521142578124999
442,10.771529699465624,106.68430870093545,81.6639898393529,District 1,Ben Thanh,0.64337646484375,0.06014404296875,0.0002197265625,0.00298095703125,0.1339697265625,0.13658203125,0.02272705078125,0.06014404296875,0.0002197265625,0.00298095703125,0.159677734375
443,10.771586476068896,106.68464092810775,81.6639898393529,District 1,Ben Thanh,0.8424072265625,0.01214111328125,4.8828125e-06,0.00544677734375,0.03810302734375,0.070361328125,0.03153564453125,0.01214111328125,4.8828125e-06,0.00544677734375,0.0750854492187499
