osmid,y,x,street_count,highway,ref,railway,geometry,lon,lat,lst_kelvin,lst_celsius,ndvi,emissivity,palsar_hh_db,palsar_hv_db,palsar_hv_hh_ratio,palsar_glcm_contrast,palsar_glcm_homogeneity,palsar_glcm_energy,elevation_m,sky_view_factor,landcover_class
411917821,10.7874184,106.6883239,4,,,,POINT (106.6883239 10.7874184),106.6883239,10.7874184,313.8169250488281,40.66692504882815,0.05897253751754761,2.759899854660034,-0.05946569555537451,-5.476798303487442,92.10013020679196,2423.0,0.0035566815648348966,0.15811388300841897,14.0,0.9998687614881826,2.0
411917825,10.7922967,106.6880823,3,,,,POINT (106.6880823 10.7922967),106.6880823,10.7922967,313.03076171875,39.88076171875002,0.05787253379821777,2.7558999061584473,4.058307491077059,-9.27442643865598,-2.2852941673462457,4238.2,0.0030553552702698664,0.15811388300841897,10.0,0.9943868013072982,2.0
411917826,10.7926379,106.6877872,3,,,,POINT (106.6877872 10.7926379),106.6877872,10.7926379,312.80517578125,39.65517578125002,0.058780014514923096,2.759199857711792,3.6487691983120953,-12.017481464837772,-3.293571287106076,3463.4,0.030183651151049373,0.15811388300841897,10.0,0.9990856249330298,2.0
411917828,10.7927487,106.6877013,3,,,,POINT (106.6877013 10.7927487),106.6877013,10.7927487,312.75390625,39.60390625000002,0.0577625036239624,2.755499839782715,1.6746401873209322,-11.3156377576519,-6.7570561385813335,3441.9,0.10630346847084529,0.16583123951777,7.0,0.9911068990116894,2.0
411917829,10.7897584,106.689596,3,,,,POINT (106.689596 10.7897584),106.689596,10.7897584,315.08502197265625,41.93502197265627,0.05770748853683472,2.7553000450134277,-6.7310491147035805,-9.286956317689516,1.3797189946813353,4651.4,0.11605241980672859,0.16583123951777,12.0,0.9922138733800314,2.0
411917830,10.7903544,106.6900355,3,,,,POINT (106.6900355 10.7903544),106.6900355,10.7903544,316.02154541015625,42.87154541015627,0.06012749671936035,2.7640998363494873,-0.3375284919476087,1.6079564980816201,-4.7639133775148315,1631.0,0.042812488315277175,0.16583123951777,9.0,0.992942286722966,2.0
411917836,10.7706475,106.704554,4,,,,POINT (106.704554 10.7706475),106.704554,10.7706475,312.08740234375,38.93740234375002,0.05666249990463257,2.751499891281128,-4.938200260161125,-11.898111028433618,2.4094022926574072,2327.5,0.01284493957070041,0.158113883008419,12.0,0.9720019492192009,2.0
411917837,10.770821,106.7012188,4,crossing,,,POINT (106.7012188 10.770821),106.7012188,10.770821,313.7861633300781,40.63616333007815,0.061722517013549805,2.769899845123291,3.114334221827292,-6.399781281277654,-2.0549436333530933,1994.0500000000002,0.007508734880470934,0.16583123951777,10.0,0.9714940974842512,2.0
411917839,10.7711389,106.701082,5,,,,POINT (106.701082 10.7711389),106.701082,10.7711389,314.3638000488281,41.21380004882815,0.06301504373550415,2.774600028991699,-4.92192946619673,-12.606064656802943,2.561203841578797,2772.6,0.009238126715310092,0.15811388300841897,6.0,0.9556308431812487,2.0
411917880,10.7730152,106.7050529,3,,,,POINT (106.7050529 10.7730152),106.7050529,10.7730152,312.65478515625,39.50478515625002,0.05809253454208374,2.756700038909912,-3.1083783748021148,-7.238047332394061,2.3285605739213935,3440.65,0.003518242558218277,0.15811388300841897,7.0,0.9426138395479714,2.0
411917881,10.7727751,106.7048194,3,,,,POINT (106.7048194 10.7727751),106.7048194,10.7727751,311.64990234375,38.49990234375002,0.05504000186920166,2.7455999851226807,3.865808047068654,-3.0715179208981738,-0.79453451477686,3657.1,0.0034126403914231246,0.15811388300841897,11.0,0.9782925624933205,2.0
411917924,10.7902899,106.6942858,3,,,,POINT (106.6942858 10.7902899),106.6942858,10.7902899,314.4116516113281,41.26165161132815,0.0640600323677063,2.77839994430542,-2.232366170646088,-6.374125112459808,2.8553223912253687,2782.35,0.00950647537252192,0.158113883008419,10.0,0.9896899477880247,2.0
411917927,10.7916287,106.6872088,3,,,,POINT (106.6872088 10.7916287),106.6872088,10.7916287,313.30078125,40.15078125000002,0.05856001377105713,2.7583999633789062,-3.3274742575093086,-7.099092591577502,2.1334778400032874,4775.049999999998,0.005355941488686773,0.15811388300841892,17.0,0.9999980711476459,2.0
411917959,10.7907006,106.6884139,3,,,,POINT (106.6884139 10.7907006),106.6884139,10.7907006,313.7998352050781,40.64983520507815,0.060677528381347656,2.7660999298095703,6.295750392918748,7.216796028987218,1.1462964029044784,6921.100000000001,0.0016004963577601632,0.15811388300841903,17.0,0.9998074973754306,2.0
411917965,10.7912041,106.6888361,1,,,,POINT (106.6888361 10.7912041),106.6888361,10.7912041,314.0664367675781,40.91643676757815,0.06070500612258911,2.766199827194214,2.3823165379023976,-12.143491460816406,-5.097345910005986,3874.349999999999,0.06143015383289708,0.16201851746019647,11.0,0.9962833141398499,2.0
