osmid,y,x,street_count,highway,ref,railway,geometry
11494719170,10.7830361,106.6959331,4,crossing,,,POINT (106.6959331 10.7830361)
11494719172,10.7737401,106.6923465,1,,,,POINT (106.6923465 10.7737401)
11494719174,10.7826453,106.6962109,3,,,,POINT (106.6962109 10.7826453)
11494719176,10.7791297,106.6926671,3,,,,POINT (106.6926671 10.7791297)
11494719182,10.782618,106.695435,3,,,,POINT (106.695435 10.782618)
11497704859,10.7635485,106.6932118,3,crossing,,,POINT (106.6932118 10.7635485)
11497704862,10.7644028,106.6924654,4,crossing,,,POINT (106.6924654 10.7644028)
11497704865,10.7646897,106.6920777,3,,,,POINT (106.6920777 10.7646897)
11497726182,10.7650429,106.6925793,3,,,,POINT (106.6925793 10.7650429)
11497726189,10.7652874,106.6927883,3,,,,POINT (106.6927883 10.7652874)
11497726264,10.7664802,106.691924,3,,,,POINT (106.691924 10.7664802)
11497726265,10.7664036,106.6917461,4,,,,POINT (106.6917461 10.7664036)
11497726273,10.7662922,106.6913344,3,,,,POINT (106.6913344 10.7662922)
11497726274,10.766486,106.6912301,3,,,,POINT (106.6912301 10.766486)
11497726312,10.7674274,106.690559,3,,,,POINT (106.690559 10.7674274)
11497726314,10.7675826,106.6905793,4,,,,POINT (106.6905793 10.7675826)
11497726315,10.7676462,106.6905546,3,,,,POINT (106.6905546 10.7676462)
11497726316,10.7676051,106.6904434,3,,,,POINT (106.6904434 10.7676051)
11497726318,10.7678975,106.6911969,3,,,,POINT (106.6911969 10.7678975)
11497726319,10.770009,106.6940703,4,,,,POINT (106.6940703 10.770009)
11497726322,10.7700864,106.694003,4,,,,POINT (106.694003 10.7700864)
11497726325,10.7702013,106.6939438,4,,,,POINT (106.6939438 10.7702013)
11497726332,10.7710853,106.6934315,3,,,,POINT (106.6934315 10.7710853)
11497726335,10.7711574,106.6930226,4,,,,POINT (106.6930226 10.7711574)
11497726341,10.7713861,106.6929164,4,,,,POINT (106.6929164 10.7713861)
11497726346,10.7716895,106.6930948,4,,,,POINT (106.6930948 10.7716895)
11497726349,10.772198,106.692314,3,,,,POINT (106.692314 10.772198)
11497726351,10.7722348,106.692221,3,,,,POINT (106.692221 10.7722348)
11497726352,10.772548,106.6916321,3,,,,POINT (106.6916321 10.772548)
11497726363,10.7728212,106.6911184,3,,,,POINT (106.6911184 10.7728212)
11497726364,10.7727348,106.691281,3,,,,POINT (106.691281 10.7727348)
11498883220,10.7386763,106.6883567,1,,,,POINT (106.6883567 10.7386763)
11498985382,10.7361285,106.6838882,3,,,,POINT (106.6838882 10.7361285)
11498985383,10.7363946,106.6838567,1,,,,POINT (106.6838567 10.7363946)
11499209669,10.8011355,106.7381769,3,,,,POINT (106.7381769 10.8011355)
11499209681,10.8011558,106.738288,3,,,,POINT (106.738288 10.8011558)
11499275282,10.7915971,106.7528649,3,,,,POINT (106.7528649 10.7915971)
11499275283,10.7912149,106.7532448,1,,,,POINT (106.7532448 10.7912149)
11499453459,10.7894843,106.7546876,3,,,,POINT (106.7546876 10.7894843)
11499453461,10.7896472,106.7550616,1,,,,POINT (106.7550616 10.7896472)
11499585042,10.7390255,106.6878241,1,,,,POINT (106.6878241 10.7390255)
11499588885,10.7369859,106.681326,3,,,,POINT (106.681326 10.7369859)
11499588896,10.7372533,106.6804604,3,,,,POINT (106.6804604 10.7372533)
11499590619,10.7376584,106.6850313,1,,,,POINT (106.6850313 10.7376584)
11499630157,10.7045501,106.6166919,1,,,,POINT (106.6166919 10.7045501)
11499630158,10.7044984,106.6171895,3,,,,POINT (106.6171895 10.7044984)
11499684485,10.7066036,106.6137139,3,,,,POINT (106.6137139 10.7066036)
11499684486,10.7063067,106.6137904,1,,,,POINT (106.6137904 10.7063067)
11499688663,10.7029523,106.6168242,3,,,,POINT (106.6168242 10.7029523)
11499688664,10.7029081,106.6170895,1,,,,POINT (106.6170895 10.7029081)
11499800214,10.7074575,106.615167,3,,,,POINT (106.615167 10.7074575)
11499800215,10.7072251,106.6152971,1,,,,POINT (106.6152971 10.7072251)
11499855891,10.7109366,106.6194733,1,,,,POINT (106.6194733 10.7109366)
11499896769,10.707436,106.615621,1,,,,POINT (106.615621 10.707436)
11499896770,10.7077025,106.615521,3,,,,POINT (106.615521 10.7077025)
11499996385,10.7013351,106.6289231,3,,,,POINT (106.6289231 10.7013351)
11499996386,10.7012497,106.6290636,1,,,,POINT (106.6290636 10.7012497)
11500027006,10.7074215,106.6244649,1,,,,POINT (106.6244649 10.7074215)
11500035068,10.7085917,106.6225947,1,,,,POINT (106.6225947 10.7085917)
11500061632,10.7065906,106.6240412,3,,,,POINT (106.6240412 10.7065906)
11500061649,10.7063798,106.6244408,3,,,,POINT (106.6244408 10.7063798)
11500061650,10.7064431,106.6243187,3,,,,POINT (106.6243187 10.7064431)
11500068399,10.7133921,106.6214472,3,,,,POINT (106.6214472 10.7133921)
11500068400,10.7134679,106.619647,1,,,,POINT (106.619647 10.7134679)
11500071860,10.7150683,106.6168622,1,,,,POINT (106.6168622 10.7150683)
11500098913,10.7148054,106.6119839,1,,,,POINT (106.6119839 10.7148054)
11500136297,10.6872704,106.5930562,1,,,,POINT (106.5930562 10.6872704)
11500136298,10.6871329,106.5935843,3,,,,POINT (106.5935843 10.6871329)
11500227517,10.7128743,106.6261138,1,,,,POINT (106.6261138 10.7128743)
11500227518,10.7130388,106.6262452,3,,,,POINT (106.6262452 10.7130388)
11500255064,10.7128713,106.6226296,1,,,,POINT (106.6226296 10.7128713)
11500266487,10.7118676,106.6308496,1,,,,POINT (106.6308496 10.7118676)
11500266488,10.7121867,106.6311915,3,,,,POINT (106.6311915 10.7121867)
11500342133,10.7180073,106.6267546,3,,,,POINT (106.6267546 10.7180073)
11500342134,10.7184529,106.6258496,1,,,,POINT (106.6258496 10.7184529)
11500356671,10.7209479,106.6264377,1,,,,POINT (106.6264377 10.7209479)
11502559281,10.7898869,106.7126129,3,,,,POINT (106.7126129 10.7898869)
