u,v,key,osmid,highway,name,oneway,reversed,length,geometry,maxspeed,lanes,service,ref,bridge,width,tunnel,access,junction
411920534,411925695,0,35113291,service,Hẻm 174/93 Nguyễn Thiện Thuật,False,True,83.7357853478851,"LINESTRING (106.6805713 10.7699641, 106.6801984 10.7702919, 106.6800248 10.7700937)",,,alley,,,,,,
411920534,411920654,0,35113929,service,Hẻm 51/36 Cao Thắng,False,False,74.91946548798411,"LINESTRING (106.6805713 10.7699641, 106.6807698 10.76981, 106.6810996 10.7695346)",,,alley,,,,,,
411920534,411920533,0,35114273,service,Hẻm 174 Nguyễn Thiện Thuật,False,False,27.8146380927303,"LINESTRING (106.6805713 10.7699641, 106.6804631 10.7698435, 106.6804023 10.769777)",,,alley,,,,,,
411920536,6780803835,0,339106359,service,Hẻm 174 Nguyễn Thiện Thuật,False,False,21.041963572107004,"LINESTRING (106.6799701 10.7692243, 106.6798286 10.7690959)",,,alley,,,,,,
411920536,411920537,0,1120271517,service,Hẻm 174 Nguyễn Thiện Thuật,False,True,26.466537295112417,"LINESTRING (106.6799701 10.7692243, 106.6801099 10.7694187)",,,alley,,,,,,
411920536,411920658,0,35113805,service,,False,False,71.83561188150621,"LINESTRING (106.6799701 10.7692243, 106.6802454 10.7690037, 106.680283 10.7689971, 106.6803513 10.7689483, 106.6804902 10.7688363)",,,alley,,,,,,
411920537,411920536,0,1120271517,service,Hẻm 174 Nguyễn Thiện Thuật,False,False,26.466537295112417,"LINESTRING (106.6801099 10.7694187, 106.6799701 10.7692243)",,,alley,,,,,,
411920537,411920532,0,1120271517,service,Hẻm 174 Nguyễn Thiện Thuật,False,True,22.428424929653243,"LINESTRING (106.6801099 10.7694187, 106.6802374 10.7695768)",,,alley,,,,,,
411920537,411920664,0,35115345,service,Hẻm 51/66 Cao Thắng,False,False,76.15719351327178,"LINESTRING (106.6801099 10.7694187, 106.6802508 10.7692948, 106.6803245 10.7692263, 106.6804238 10.7691433, 106.6804962 10.7690959, 106.6804828 10.7690761, 106.6806094 10.7689721)",,,alley,,,,,,
411920538,411920540,0,339106359,service,Hẻm 174 Nguyễn Thiện Thuật,False,True,28.65179481897202,"LINESTRING (106.6796442 10.7688409, 106.6797921 10.7690537)",,,alley,,,,,,
411920538,411920539,0,339106366,service,Hẻm 174 Nguyễn Thiện Thuật,False,False,22.55544179707825,"LINESTRING (106.6796442 10.7688409, 106.6795091 10.7686875)",,,alley,,,,,,
411920538,411920660,0,35114562,service,Hẻm 51/104 Cao Thắng,False,False,72.51641181967217,"LINESTRING (106.6796442 10.7688409, 106.6797546 10.7687626, 106.6799369 10.7686071, 106.6801595 10.7684303)",,,alley,,,,,,
411920539,411925783,0,35113953,service,Hẻm 174/11 Nguyễn Thiện Thuật,False,True,39.797608542022594,"LINESTRING (106.6795091 10.7686875, 106.6792261 10.7689129)",,,alley,,,,,,
411920539,411920669,0,35114559,service,Hẻm 51/118 Cao Thắng,False,False,72.30890739536537,"LINESTRING (106.6795091 10.7686875, 106.6800102 10.7682626)",,,alley,,,,,,
411920539,411920544,0,339106366,service,Hẻm 174 Nguyễn Thiện Thuật,False,False,30.87012596393283,"LINESTRING (106.6795091 10.7686875, 106.6793217 10.7684797)",,,alley,,,,,,
411920539,411920538,0,339106366,service,Hẻm 174 Nguyễn Thiện Thuật,False,True,22.55544179707825,"LINESTRING (106.6795091 10.7686875, 106.6796442 10.7688409)",,,alley,,,,,,
411920540,411920538,0,339106359,service,Hẻm 174 Nguyễn Thiện Thuật,False,False,28.65179481897202,"LINESTRING (106.6797921 10.7690537, 106.6796442 10.7688409)",,,alley,,,,,,
411920540,6780803835,0,339106359,service,Hẻm 174 Nguyễn Thiện Thuật,False,True,6.157614591386325,"LINESTRING (106.6797921 10.7690537, 106.6798286 10.7690959)",,,alley,,,,,,
411920540,411920659,0,339106362,service,Hẻm 664 Nguyễn Ðình Chiểu,False,False,75.62641951600986,"LINESTRING (106.6797921 10.7690537, 106.6803175 10.7686108)",,,alley,,,,,,
411920542,11098792276,0,35114104,service,,False,False,17.330044554061914,"LINESTRING (106.6967458 10.7649617, 106.6966685 10.7650978)",,,alley,,,,,,
411920542,11104336573,0,35114104,service,,False,True,24.4884051651027,"LINESTRING (106.6967458 10.7649617, 106.6968647 10.764775)",,,alley,,,,,,
411920542,411920469,0,35114612,service,,False,True,17.835158771055415,"LINESTRING (106.6967458 10.7649617, 106.6966069 10.7648774)",,,alley,,,,,,
411920542,5500064103,0,723576829,service,,False,True,34.00561585134244,"LINESTRING (106.6967458 10.7649617, 106.696827 10.7650043, 106.6970182 10.7651097)",,,alley,,,,,,
411920544,411920539,0,339106366,service,Hẻm 174 Nguyễn Thiện Thuật,False,True,30.87012596393283,"LINESTRING (106.6793217 10.7684797, 106.6795091 10.7686875)",,,alley,,,,,,
411920544,411923528,0,1041072281,residential,Hẻm 175 Nguyễn Thiện Thuật,False,True,26.214468836498632,"LINESTRING (106.6793217 10.7684797, 106.6791852 10.7682858)",,,,,,,,,
411920544,411920408,0,152992067,tertiary,Nguyễn Thiện Thuật,False,False,77.19610069022933,"LINESTRING (106.6793217 10.7684797, 106.6792598 10.7685316, 106.6788298 10.7688914, 106.6787805 10.7689258)",,2,,,,,,,
411920544,411921177,0,152992067,tertiary,Nguyễn Thiện Thuật,False,True,71.26641167747862,"LINESTRING (106.6793217 10.7684797, 106.6793766 10.7684338, 106.6798211 10.7680673)",,2,,,,,,,
411920596,12483592344,0,1349467326,service,,False,False,38.74218821295928,"LINESTRING (106.6926528 10.7927556, 106.6923053 10.7926858)",,,alley,,,,,,
